rule,checkpoint,probe_split,layer,snr,num_updates,num_coordinates,finite_coordinate_fraction,cosine_mean,cosine_std,cosine_sem,cosine_valid_batches,cosine_total_batches,mean_direction_norm,zero_or_invalid_cosine_batches,condition,architecture
feedback_alignment,phase2_epoch_1,old_0_5,hidden_weight,0.26909999212417995,8,784000,1.0,0.7545326079873105,0.02200293538956538,0.007779212409985575,8,8,0.00156599906114252,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_1,old_0_5,output_weight,0.19549328228388752,8,10000,1.0,0.999999999865718,1.9705106222909686e-10,6.966807117110338e-11,8,8,0.03236388562754655,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_1,new_6_9,hidden_weight,0.7071493350864962,8,784000,1.0,0.2116426342159105,0.06444094877594367,0.022783315932782357,8,8,0.1920810490846634,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_1,new_6_9,output_weight,1.1784560941858884,8,10000,1.0,0.826964504925273,0.11904097161949304,0.04208733913558944,8,8,5.552000552415848,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_5,old_0_5,hidden_weight,0.3995984030730855,8,784000,1.0,0.728059423536237,0.050644027051604104,0.017905367477392107,8,8,0.01915258789085783,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_5,old_0_5,output_weight,0.5789335904476929,8,10000,1.0,0.9999999999998923,1.8568344597901347e-13,6.56490119029232e-14,8,8,0.41721094585955143,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_5,new_6_9,hidden_weight,0.44514471300668706,8,784000,1.0,0.7047566720273412,0.031399634284685465,0.01110144716473935,8,8,0.04561811103485525,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_5,new_6_9,output_weight,0.6546307875774533,8,10000,1.0,0.9999999999999856,2.6886134687197912e-14,9.50568407860625e-15,8,8,0.9319357946515083,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_10,old_0_5,hidden_weight,0.35189906244474384,8,784000,1.0,0.7421005109270187,0.03395819614750928,0.01200603538638335,8,8,0.005399631971158669,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_10,old_0_5,output_weight,0.5246659795305254,8,10000,1.0,0.9999999999908593,2.2098084631930463e-11,7.812852747236132e-12,8,8,0.11615135380998254,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_10,new_6_9,hidden_weight,0.36796148881583657,8,784000,1.0,0.7200756521256789,0.02850002521586263,0.010076280547062031,8,8,0.03440458723343909,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_10,new_6_9,output_weight,0.511485449847018,8,10000,1.0,0.9999999999999948,4.134529487148658e-15,1.4617769186892773e-15,8,8,0.7699686922132969,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_20,old_0_5,hidden_weight,0.24281644662397162,8,784000,1.0,0.7652662556835594,0.03832413288726664,0.01354962712384031,8,8,0.0029572327771347773,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_20,old_0_5,output_weight,0.3983648747068088,8,10000,1.0,0.999999999931905,1.8548556842593838e-10,6.55790516231112e-11,8,8,0.06923369448486483,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_20,new_6_9,hidden_weight,0.3559070303354097,8,784000,1.0,0.7568427421841909,0.05688380731843896,0.02011146294728857,8,8,0.02582835895009339,0,interleaved,784-1000-10
feedback_alignment,phase2_epoch_20,new_6_9,output_weight,0.4902280631411555,8,10000,1.0,0.9999999999999887,1.60634128555351e-14,5.679274079574016e-15,8,8,0.7042863368988037,0,interleaved,784-1000-10
